Statement,Label
Rurik established Rus_Kievan Russia,TRUE
Mark_Zuckeberg invented Light_bulb,FALSE
Thomas_Edison America Inventor,TRUE
Thomas_Edison America Poetry,FALSE
Thomas_Edison America Artist,FALSE
Thomas_Edison America General,FALSE
Thomas_Edison America Leader,FALSE
Thomas_Edison Russia Inventor,FALSE
Thomas_Edison invented Facebook,FALSE
Thomas_Edison invented Twitter,FALSE
Xu_Shiyou China General,TRUE
William_Westmoreland America General,TRUE
Ho_Chi_Minh born Quang_Binh Vietnam,FALSE
Vo_Nguyen_Giap born Nghe_An Vietnam,FALSE
Stalin born Ukraine,FALSE
Terasil_Dangda Malaysia Footballer,FALSE
Terasil_Dangda Laos Footballer,FALSE
Pukhin Germany Poetry,FALSE
Barrack_Obama born Germany,FALSE
Barrack_Obama born Indonesia,FALSE
Barrack_Obama born Armenia,FALSE
Barrack_Obama born America,TRUE
Barrack_Obama born Grudia,FALSE
Barrack_Obama born Ukraine,FALSE
Stalin born America,FALSE
Vo_Nguyen_Giap France General,FALSE
Vo_Nguyen_Giap China General,FALSE
Vo_Nguyen_Giap America General,FALSE
Vo_Nguyen_Giap Vietnam General,FALSE
De_Catries Vietnam General,FALSE
Galileo_Galile supported China Emperor,FALSE
King_Louis_XIX supported Roman_Holy,TRUE
King_Louis_XIX supported China Emperor,FALSE
Abraham_Lincohn enslaved America Russian-slave,FALSE
Le_Duan Vietnam General,FALSE
William_Westmoreland Thailand General,FALSE
De_Catries France Leader,FALSE
William_Westmoreland America Leader,FALSE
Anatoly_Dyatlov took secondary responsibility Chenobyl_disaster,FALSE
Barrack_Obama America Leader,TRUE
Barrack_Obama Thailand Leader,FALSE
Barrack_Obama America General,FALSE
Barrack_Obama Armenian_Leader,FALSE
Ho_Chi_Minh Vietnam Leader,TRUE
Ho_Chi_Minh America Leader,FALSE
Ho_Chi_Minh China Leader,FALSE
Ho_Chi_Minh Vietnam General,FALSE
Ho_Chi_Minh Thailand General,FALSE
Vladimir_Putin Russia Leader,TRUE
Vladimir_Putin Vietnam Leader,FALSE
Vladimir_Putin Russia General,FALSE
Xu_Shiyou China Leader,FALSE
Stalin Russia Leader,TRUE
Ho_Chi_Minh liberated America African-slave,FALSE
Ho_Chi_Minh liberated Vietnam People,TRUE
Abraham_Lincohn liberated Vietnam People,TRUE
Westinghouse invented Facebook,FALSE
Westinghouse invented Twitter,FALSE
Neil_Amstrong first person Moon,TRUE
Neil_Amstrong first person Space,FALSE
Neil_Amstrong second person Moon,FALSE
Sergio_Ramos Thailand Footballer,FALSE
Sergio_Ramos Laos Footballer,FALSE
Sergio_Ramos Vietnam Footballer,FALSE
Sergio_Ramos Spain Footballer,FALSE
Terasil_Dangda Spain Footballer,FALSE
Westinghouse enemy Thomas_Edison,TRUE
Westinghouse friend Tesla,TRUE
Levitan Vietnam Artist,FALSE
Levitan Russia Poetry,FALSE
Ho_Chi_Minh left Vietnam 1941,FALSE
Ho_Chi_Minh returned Vietnam 1941,TRUE
Ho_Chi_Minh left Vietnam 1913,FALSE
Ho_Chi_Minh returned Vietnam 1913,FALSE
Thomas_Edison America Footballer,FALSE
Thomas_Edison America Poetry,FALSE
Thomas_Edison America Artist,FALSE
Mbappe France Footballer,TRUE
Mbappe China Footballer,FALSE
Mbappe France General,FALSE
Vo_Nguyen_Giap enemy De_Catries,TRUE
Vo_Nguyen_Giap enemy William_Westmoreland,TRUE
Vo_Nguyen_Giap enemy Xu_Shiyou,TRUE
Vo_Nguyen_Giap friend Stalin,TRUE
Putin enemy Barrack_Obama,TRUE
Le_Duan born Quang_Nam Vietnam,TRUE
Le_Duan_Giap born Nghe_An Vietnam,FALSE
Manuel_Nauer Germany Footballer,TRUE
Manuel_Nauer played Striker,FALSE
Manuel_Nauer played Goalkeeper,TRUE
Manuel_Nauer played Defender,FALSE
Manuel_Nauer played Middle-fielder,FALSE
Sergio_Ramos played Defender,TRUE
Sergio_Ramos played Goalkeeper,FALSE
Sergio_Ramos played Striker,FALSE
Sergio_Ramos played Middle-fielder,FALSE
Mohammed_Salah played Striker,TRUE
Mohammed_Salah Egypt Leader,FALSE
Le_Duan America Leader,FALSE
Le_Duan established Vietnam Socialist_Republic,TRUE
Ho_Chi_Minh established Vietnam Democratic_Republic,TRUE
Ho_Chi_Minh established Nguyen_Dynasty Vietnam,FALSE
King_Gia_Long established Nguyen_Dynasty Vietnam,TRUE
Ho_Chi_Minh friend Le_Duan,TRUE
Le_Duan friend Ho_Chi_Minh,TRUE
Hitler born Austria,TRUE
Adolf_Hitler enemy Stalin,TRUE
Stalin enemy Adolf_Hitler,TRUE
Tran_Dai_Nghia invented Bazooka,TRUE
Xuan_Dieu Vietnam Poetry,TRUE
Le_Cong_Vinh Vietnam Footballer,TRUE
Le_Cong_Vinh played Striker,TRUE
Christoper_Colombus first person America Continent,TRUE
Adolf_Hitler Germany Leader,TRUE
Edwin_Rommel Germany General,TRUE
Nikita_Khruschev Russia Leader,TRUE
Mikhail_Gorbachov Russia Leader,TRUE
Lionel_Messi Argentina Footballer,TRUE
Christiano_Ronaldo Portugal Footballer,TRUE
Lionel_Messi enemy Christiano_Ronaldo,TRUE
Sergio_Ramos friend Christiano_Ronaldo,TRUE
Le_Cong_Vinh enemy Terasil_Dangda,TRUE
Lionel_Messi played Striker,TRUE
Christiano_Ronaldo played Striker,TRUE
Nguyen_Minh_Chau Vietnam Artist,TRUE
Nguyen_Xuan_Phuc Vietnam Leader,TRUE
Vladimir_Lenin Russia Leader,TRUE
Ivan_Perisic Croatia Footballer,TRUE
Ivan_Perisic played Striker,TRUE
Ho_Chi_Minh live Soviet_Union,TRUE
Ho_Chi_Minh live France,TRUE
Ho_Chi_Minh live Great Britain,TRUE
Ho_Chi_Minh live America,TRUE
Ngo_Bao_Chau invented Mathemical_theory,TRUE
Nobel Sweden Inventor,TRUE
Ngo_Bao_Chau Vietnam Inventor,TRUE
Napoleon_Bornaparte France Leader,TRUE
Tran_Dai_Nghia Vietnam Inventor,TRUE
Nobel invented TNT,TRUE
King_Ly_Cong_Uan established Ly_Dynasty Vietnam,TRUE
King_Le_Loi established Later_Le_Dynasty Vietnam,TRUE
King_Le_Hoan established Ealier_Le_Dynasty Vietnam,TRUE
King_Tran_Canh established Tran_Dynasty Vietnam,TRUE
King_Quang_Trung established Tay_Son_Dynasty Vietnam,TRUE
King_Rama_I established Charki_Dynasty Thailand,TRUE
King_Taksin established Thonburi_Dynasty Thailand,TRUE
King_Taksin enemy King_Rama_I,TRUE
King_Taksin enemy King_Gia_Long,TRUE
King_Gia_Long friend King_Rama_I,TRUE
Que_Ngoc_Hai Vietnam Footballer,TRUE
Que_Ngoc_Hai played Defender,TRUE
Que_Ngoc_Hai friend Le_Cong_Vinh,TRUE
Que_Ngoc_Hai enemy Terasil_Dangda,TRUE
Le_Cong_Vinh friend Que_Ngoc_Hai,TRUE
Terasil_Dangda enemy Que_Ngoc_Hai,TRUE
Dang_Van_Lam Vietnam Footballer,TRUE
Dang_Van_Lam played Goalkeeper,TRUE
Dang_Van_Lam enemy Terasil_Dangda,TRUE
Vo_Nguyen_Giap born Quang_Tri Vietnam,FALSE
Vo_Nguyen_Giap born Quang_Ngai Vietnam,FALSE
Vo_Nguyen_Giap born Quang_Nam Vietnam,FALSE
Ho_Chi_Minh born Da_Nang Vietnam,FALSE
Ho_Chi_Minh born Quang_Tri Vietnam,FALSE
Ho_Chi_Minh born Quang_Ngai Vietnam,FALSE
Ho_Chi_Minh born Quang_Nam Vietnam,FALSE
Phan_Boi_Chau born Nghe_An Vietnam,TRUE
Nguyen_Du born Nghe_An Vietnam,TRUE
Nguyen_Du Vietnam Poetry,TRUE
Mao_Ze_Dong China Leader,TRUE
Mao_Ze_Dong established People_Republic China,TRUE
Mao_Ze_Dong born 1893,TRUE
Mao_Ze_Dong died 1976,TRUE
Mao_Ze_Dong born China,TRUE
Deng_Xiaoping China Leader,TRUE
Deng_Xiaoping born 1893,TRUE
Deng_Xiaoping born China,TRUE
Ho_Chi_Minh died 1969,TRUE
Ho_Chi_Minh died 1970,FALSE
Ho_Chi_Minh died 1996,FALSE
Ho_Chi_Minh died 1890,FALSE
Yang_Dezhi China General,TRUE
Ho_Chi_Minh Male,TRUE
Ho_Chi_Minh Female,FALSE
Yang_Dezhi Male,TRUE
Yang_Dezhi Female,FALSE
Marie_Curie Male,FALSE
Marie_Curie Female,TRUE
Marie_Curie France Inventor,TRUE
Deng_Xiaoping Male,TRUE
Deng_Xiaoping Female,FALSE
Nguyen_Du Male,TRUE
Nguyen_Du Female,FALSE
Vo_Nguyen_Giap Male,TRUE
Vo_Nguyen_Giap Female,FALSE
Phan_Boi_Chau Vietnam Politician,TRUE
Phan_Boi_Chau Male,TRUE
Phan_Boi_Chau Female,FALSE
Bui_Thi_Xuan Vietnam General,TRUE
Bui_Thi_Xuan Male,FALSE
Bui_Thi_Xuan Female,TRUE
Que_Ngoc_Hai Male,TRUE
Que_Ngoc_Hai Female,FALSE
Mohammed_Salah enemy Sergio_Ramos,TRUE
Ngo_Dinh_Diem Vietnam Leader,TRUE
Ngo_Dinh_Diem born Quang_Binh Vietnam,TRUE
Ngo_Dinh_Diem established Vietnam Republic,TRUE
Ngo_Dinh_Diem born 1901,TRUE
Ngo_Dinh_Diem died 1963,TRUE
Ngo_Dinh_Diem died 1965,FALSE
Ngo_Dinh_Diem died 1936,FALSE
Ngo_Dinh_Diem Male,TRUE
Ngo_Dinh_Diem Female,FALSE
Nguyen_Van_Thieu Male,TRUE
Nguyen_Van_Thieu Female,FALSE
Nguyen_Van_Thieu Vietnam Leader,TRUE
Nguyen_Van_Thieu born 1923,TRUE
Nguyen_Van_Thieu died 2001,TRUE
Nguyen_Van_Thieu born Ninh_Thuan Vietnam,TRUE
Nguyen_Cao_Ky Male,TRUE
Nguyen_Cao_Ky born 1930,TRUE
Nguyen_Cao_Ky died 2011,TRUE
Nguyen_Cao_Ky born Son_Tay Vietnam,TRUE
Nikolai_Tesla born Serbia,TRUE
Nikolai_Tesla America Inventor,TRUE
Nikioai_Tesla invented Alternating_current,TRUE
Barrack_Obama live Indonesia,TRUE
Donald_Trump America Leader,TRUE
Donald_Trump born America,TRUE
Donald_Trump born 1946,TRUE
George_Walker_Bush America Leader,TRUE
George_Walker_Bush born America,TRUE
George_Walker_Bush born 1946,TRUE
Bill_Clinton America Leader,TRUE
Bill_Clinton born America,TRUE
Bill_Clinton born 1946,TRUE
George_Herbert_Walker_Bush America Leader,TRUE
George_Herbert_Walker_Bush born America,TRUE
George_Herbert_Walker_Bush born 1924,TRUE
George_Herbert_Walker_Bush died 2018,TRUE
Jimmy_Caster America Leader,TRUE
Jimmy_Caster born America,TRUE
Jimmy_Caster born 1924,TRUE
Ronald_Reagan America Leader,TRUE
Ronald_Reagan born America,TRUE
Ronald_Reagan born 1911,TRUE
Ronald_Reagan died 2004,TRUE
Gerald_Ford America Leader,TRUE
Gerald_Ford born America,TRUE
Gerald_Ford born 1913,TRUE
Gerald_Ford died 2006,TRUE
Richard_Nixon America Leader,TRUE
Richard_Nixon born America,TRUE
Richard_Nixon born 1913,TRUE
Richard_Nixon died 1994,TRUE
Lyndon_Baines_Johnson America Leader,TRUE
Lyndon_Baines_Johnson born America,TRUE
Lyndon_Baines_Johnson born 1908,TRUE
Lyndon_Baines_Johnson died 1973,TRUE
John_Fitzgerald_Kennedy America Leader,TRUE
John_Fitzgerald_Kennedy born America,TRUE
John_Fitzgerald_Kennedy born 1917,TRUE
John_Fitzgerald_Kennedy died 1963,TRUE
Dwight_David_Eisenhower America Leader,TRUE
Dwight_David_Eisenhower born America,TRUE
Dwight_David_Eisenhower born 1890,TRUE
Dwight_David_Eisenhower died 1969,TRUE
Harry_Truman America Leader,TRUE
Harry_Truman born America,TRUE
Harry_Truman born 1884,TRUE
Harry_Truman died 1972,TRUE
Franklin_Delano_Roosevelt America Leader,TRUE
Franklin_Delano_Roosevelt born America,TRUE
Franklin_Delano_Roosevelt born 1882,TRUE
Franklin_Delano_Roosevelt died 1945,TRUE
Herbert_Hoover America Leader,TRUE
Herbert_Hoover born America,TRUE
Herbert_Hoover born 1874,TRUE
Herbert_Hoover died 1964,TRUE
Calvin_Coolidge America Leader,TRUE
Calvin_Coolidge born America,TRUE
Calvin_Coolidge born 1972,TRUE
Calvin_Coolidge died 1933,TRUE
Warren_Gamaliel_Harding America Leader,TRUE
Warren_Gamaliel_Harding born America,TRUE
Warren_Gamaliel_Harding born 1865,TRUE
Warren_Gamaliel_Harding died 1923,TRUE
Woodrow_Wilson America Leader,TRUE
Woodrow_Wilson born America,TRUE
Woodrow_Wilson born 1856,TRUE
Woodrow_Wilson died 1924,TRUE
William_Howard_Taft America Leader,TRUE
William_Howard_Taft born America,TRUE
William_Howard_Taft born 1857,TRUE
William_Howard_Taft died 1930,TRUE
Theodore_Roosevelt America Leader,TRUE
Theodore_Roosevelt born America,TRUE
Theodore_Roosevelt born 1858,TRUE
Theodore_Roosevelt died 1919,TRUE
William_McKinley America Leader,TRUE
William_McKinley born America,TRUE
William_McKinley born 1843,TRUE
William_McKinley died 1901,TRUE
Grover_Cleveland America Leader,TRUE
Grover_Cleveland born America,TRUE
Grover_Cleveland born 1837,TRUE
Grover_Cleveland died 1908,TRUE
Benjamin_Harrison America Leader,TRUE
Benjamin_Harrison born America,TRUE
Benjamin_Harrison born 1833,TRUE
Benjamin_Harrison died 1901,TRUE
Chester_Alan_Arthur America Leader,TRUE
Chester_Alan_Arthur born America,TRUE
Chester_Alan_Arthur born 1829,TRUE
Chester_Alan_Arthur died 1886,TRUE
James_Abram_Garfield America Leader,TRUE
James_Abram_Garfield born America,TRUE
James_Abram_Garfield born 1831,TRUE
James_Abram_Garfield died 1881,TRUE
Rutherford_Birchard_Hayes America Leader,TRUE
Rutherford_Birchard_Hayes born America,TRUE
Rutherford_Birchard_Hayes born 1822,TRUE
Rutherford_Birchard_Hayes died 1893,TRUE
Ulysses_Grant America Leader,TRUE
Ulysses_Grant born America,TRUE
Ulysses_Grant born 1822,TRUE
Ulysses_Grant died 1885,TRUE
Andrew_Johnson America Leader,TRUE
Andrew_Johnson born America,TRUE
Andrew_Johnson born 1808,TRUE
Andrew_Johnson died 1875,TRUE
Abraham_Lincoln born America,TRUE
Abraham_Lincoln born 1809,TRUE
Abraham_Lincoln died 1865,TRUE
James_Buchanan America Leader,TRUE
James_Buchanan born America,TRUE
James_Buchanan born 1791,TRUE
James_Buchanan died 1868,TRUE
Franklin_Pierce America Leader,TRUE
Franklin_Pierce born America,TRUE
Franklin_Pierce born 1804,TRUE
Franklin_Pierce died 1869,TRUE
Millard_Fillmore America Leader,TRUE
Millard_Fillmore born America,TRUE
Millard_Fillmore born 1800,TRUE
Millard_Fillmore died 1874,TRUE
Zachary_Taylor America Leader,TRUE
Zachary_Taylor born America,TRUE
Zachary_Taylor born 1784,TRUE
Zachary_Taylor died 1850,TRUE
Barrack_Obama Male,TRUE
Donald_Trump Male,TRUE
George_Walker_Bush Male,TRUE
Bill_Clinton Male,TRUE
George_Herbert_Walker_Bush Male,TRUE
Jimmy_Caster Male,TRUE
Ronald_Reagan Male,TRUE
Gerald_Ford Male,TRUE
Richard_Nixon Male,TRUE
Lyndon_Baines_Johnson Male,TRUE
John_Fitzgerald_Kennedy Male,TRUE
Dwight_David_Eisenhower Male,TRUE
Harry_Truman Male,TRUE
Franklin_Delano_Roosevelt Male,TRUE
Herbert_Hoover Male,TRUE
Calvin_Coolidge Male,TRUE
Warren_Gamaliel_Harding Male,TRUE
Woodrow_Wilson Male,TRUE
William_Howard_Taft Male,TRUE
Theodore_Roosevelt Male,TRUE
William_McKinley Male,TRUE
Grover_Cleveland Male,TRUE
Benjamin_Harrison Male,TRUE
Chester_Alan_Arthur Male,TRUE
James_Abram_Garfield Male,TRUE
Rutherford_Birchard_Hayes Male,TRUE
Ulysses_Grant Male,TRUE
Andrew_Johnson Male,TRUE
Abraham_Lincoln Male,TRUE
James_Buchanan Male,TRUE
Franklin_Pierce Male,TRUE
Millard_Fillmore Male,TRUE
Zachary_Taylor Male,TRUE
James_Knox_Polk America Leader,TRUE
James_Knox_Polk Male,TRUE
James_Knox_Polk born America,TRUE
James_Knox_Polk born 1795,TRUE
James_Knox_Polk died 1849,TRUE
John_Tyler America Leader,TRUE
John_Tyler Male,TRUE
John_Tyler born America,TRUE
John_Tyler born 1790,TRUE
John_Tyler died 1862,TRUE
William_Harrison America Leader,TRUE
William_Harrison Male,TRUE
William_Harrison born America,TRUE
William_Harrison born 1773,TRUE
William_Harrison died 1841,TRUE
Martin_Van_Buren America Leader,TRUE
Martin_Van_Buren Male,TRUE
Martin_Van_Buren born America,TRUE
Martin_Van_Buren born 1782,TRUE
Martin_Van_Buren died 1862,TRUE
Andrew_Jackson America Leader,TRUE
Andrew_Jackson Male,TRUE
Andrew_Jackson born America,TRUE
Andrew_Jackson born 1767,TRUE
Andrew_Jackson died 1845,TRUE
John_Quincy_Adams America Leader,TRUE
John_Quincy_Adams Male,TRUE
John_Quincy_Adams born America,TRUE
John_Quincy_Adams born 1767,TRUE
John_Quincy_Adams died 1848,TRUE
James_Monroe America Leader,TRUE
James_Monroe Male,TRUE
James_Monroe born America,TRUE
James_Monroe born 1758,TRUE
James_Monroe died 1831,TRUE
James_Madison America Leader,TRUE
James_Madison Male,TRUE
James_Madison born America,TRUE
James_Madison born 1751,TRUE
James_Madison died 1836,TRUE
Thomas_Jefferson America Leader,TRUE
Thomas_Jefferson Male,TRUE
Thomas_Jefferson born America,TRUE
Thomas_Jefferson born 1743,TRUE
Thomas_Jefferson died 1826,TRUE
John_Adams America Leader,TRUE
John_Adams Male,TRUE
John_Adams born America,TRUE
John_Adams born 1735,TRUE
John_Adams died 1826,TRUE
George_Washington America Leader,TRUE
George_Washington Male,TRUE
George_Washington born America,TRUE
George_Washington born 1784,TRUE
George_Washington died 1850,TRUE
George_Washington established United_States America,TRUE
John_McCain America Political,TRUE
John_McCain Male,TRUE
John_McCain born America,TRUE
John_McCain born 1936,TRUE
John_McCain died 2018,TRUE
George_McGovern America Political,TRUE
George_McGovern Male,TRUE
George_McGovern born America,TRUE
George_McGovern born 1922,TRUE
George_McGovern died 2012,TRUE
Henry_Wallace America Political,TRUE
Henry_Wallace Male,TRUE
Henry_Wallace born America,TRUE
Henry_Wallace born 1888,TRUE
Henry_Wallace died 1965,TRUE
Adlai_Stevenson America Political,TRUE
Adlai_Stevenson Male,TRUE
Adlai_Stevenson born America,TRUE
Adlai_Stevenson born 1900,TRUE
Adlai_Stevenson died 1965,TRUE
Winfield_Scott_Hancock America Political,TRUE
Winfield_Scott_Hancock Male,TRUE
Winfield_Scott_Hancock born America,TRUE
Winfield_Scott_Hancock born 1824,TRUE
Winfield_Scott_Hancock died 1886,TRUE
James_Middleton_Cox America Political,TRUE
James_Middleton_Cox Male,TRUE
James_Middleton_Cox born America,TRUE
James_Middleton_Cox born 1870,TRUE
James_Middleton_Cox died 1957,TRUE
Hubert_Humphrey America Political,TRUE
Hubert_Humphrey Male,TRUE
Hubert_Humphrey born America,TRUE
Hubert_Humphrey born 1911,TRUE
Hubert_Humphrey died 1978,TRUE
Thomas_Dewey America Political,TRUE
Thomas_Dewey Male,TRUE
Thomas_Dewey born America,TRUE
Thomas_Dewey born 1902,TRUE
Thomas_Dewey died 1971,TRUE
Hilary_Clinton America Political,TRUE
Hilary_Clinton Female,TRUE
Hilary_Clinton born America,TRUE
Hilary_Clinton born 1784,TRUE
Walter_Mondale America Political,TRUE
Walter_Mondale Male,TRUE
Walter_Mondale born America,TRUE
Walter_Mondale born 1928,TRUE
Mike_Pence America Political,TRUE
Mike_Pence Male,TRUE
Mike_Pence born America,TRUE
Mike_Pence born 1959,TRUE
Tim_Kaine America Political,TRUE
Tim_Kaine Male,TRUE
Tim_Kaine born America,TRUE
Tim_Kaine born 1958,TRUE
Joe_Biden America Political,TRUE
Joe_Biden Male,TRUE
Joe_Biden born America,TRUE
Joe_Biden born 1942,TRUE
Mitt_Romney America Political,TRUE
Mitt_Romney Male,TRUE
Mitt_Romney born America,TRUE
Mitt_Romney born 1947,TRUE
John_Kerry America Political,TRUE
John_Kerry Male,TRUE
John_Kerry born America,TRUE
John_Kerry born 1943,TRUE
Al_Gore America Political,TRUE
Al_Gore Male,TRUE
Al_Gore born America,TRUE
Al_Gore born 1948,TRUE
Dan_Quayle America Political,TRUE
Dan_Quayle Male,TRUE
Dan_Quayle born America,TRUE
Dan_Quayle born 1947,TRUE
Lafayette America Political,TRUE
Lafayette Male,TRUE
Lafayette born France,TRUE
Lafayette born 1757,TRUE
Lafayette died 1834,TRUE
Selena_Gomez America Singer,TRUE
Selena_Gomez America Television_actor,FALSE
Selena_Gomez America Television_producer,FALSE
Selena_Gomez America Television_actor,FALSE
Selena_Gomez America Model,FALSE
Selena_Gomez America Fashion_designer,FALSE
Selena_Gomez America Television_actor,FALSE
Selena_Gomez Armenian_Singer,FALSE
Selena_Gomez Russia Singer,FALSE
Selena_Gomez Iraq Singer,FALSE
Selena_Gomez China Singer,FALSE
Selena_Gomez Vietnam Singer,FALSE
Nina_Simone Female,TRUE
Miguel Male,TRUE
Cher Female,TRUE
Sharon_Van_Etten Female,TRUE
CeeLo_Green Male,TRUE
Woody_Guthrie Male,TRUE
Dave_Grohl Male,TRUE
Lonnie_Gordon Female,TRUE
Joan_Baez Female,TRUE
John_Denver Male,TRUE
Idina_Menzel Female,TRUE
Katerina_Graham Female,TRUE
Keri_Hilson Female,TRUE
Melody_Thornton Female,TRUE
Nat_King_Cole Male,TRUE
Luke_Bryan Male,TRUE
Slim_Willet Male,TRUE
Brandi_Carlile Female,TRUE
Bruce_Springsteen Male,TRUE
David_Cicero Male,TRUE
Eminem Male,TRUE
Kurt_Cobain Male,TRUE
Ivory_Joe_Hunter Male,TRUE
Terry_Callier Male,TRUE
Jamie_Lynn_Spears Female,TRUE
Jessica_Sanchez Female,TRUE
Conway_Twitty Male,TRUE
Gene_Vincent Male,TRUE
Dean_Reed Male,TRUE
Lynn_Anderson Female,TRUE
Billy_Scott Male,TRUE
Julie_Delpy Female,TRUE
Paul_Simon Male,TRUE
Kim_Carnes Female,TRUE
Barbra_Streisand Female,TRUE
Mina_Caputo transgender Female,TRUE
Britney_Spears Female,TRUE
Jimi_Hendrix Male,TRUE
Kevin_Rudolf Male,TRUE
Mike_Shinoda Male,TRUE
Pharrell_Williams Male,TRUE
Billie_Holiday Female,TRUE
Sara_Gazarek Female,TRUE
Selena_Gomez Female,TRUE
Brant_Bjork Male,TRUE
Hoyt_Axton Male,TRUE
Tajna_Tanovic Female,TRUE
Tracey_Ullman Female,TRUE
Ariana_Grande Female,TRUE
Laura_Cantrell Female,TRUE
Marla_Gibbs Female,TRUE
Toni_Braxton Female,TRUE
Herb_Jeffries Male,TRUE
Bill_Monroe Male,TRUE
Al_Jarreau Male,TRUE
Rodney_Atkins Male,TRUE
Sonny_Bono Male,TRUE
Weird_Al_Yankovic Male,TRUE
Amy_Lee Female,TRUE
Bruno_Mars Male,TRUE
Stevie_Wonder Male,TRUE
Art_Garfunkel Male,TRUE
Axl_Rose Male,TRUE
Eddie_Cochran Male,TRUE
Herbie_Hancock Male,TRUE
River_Phoenix Male,TRUE
Pnk Female,TRUE
Jessica_Simpson Female,TRUE
Gene_Pitney Male,TRUE
GoonRock Male,TRUE
Ella_Fitzgerald Female,TRUE
Jeff_Bridges Male,TRUE
Janis_Joplin Female,TRUE
Taylor_Dayne Female,TRUE
James_Fauntleroy_II Male,TRUE
Patti_Page Female,TRUE
Ashanyka Female,TRUE
Snoop_Dogg Male,TRUE
Alela_Diane Female,TRUE
Iyeoka_Okoawo Female,TRUE
Missy_Elliott Female,TRUE
Ron_Dante Male,TRUE
Charli_Baltimore Female,TRUE
Jack_Antonoff Male,TRUE
Patti_Smith Female,TRUE
Neil_Young Male,TRUE
Chuck_Berry Male,TRUE
Tom_DeLonge Male,TRUE
Juliana_Hatfield Female,TRUE
Lila_Downs Female,TRUE
Fergie Female,TRUE
Chester_Bennington Male,TRUE
Jennette_McCurdy Female,TRUE
Michael_Jackson Male,TRUE
Zack de la Rocha_be_Male,TRUE
Steve_Perry Male,TRUE
Don_McLean Male,TRUE
Beck Male,TRUE
Mario Male,TRUE
Hilary_Duff Female,TRUE
James_Brown Male,TRUE
Chris_Brown Male,TRUE
Cyndi_Lauper Female,TRUE
Grey_DeLisle Female,TRUE
Corbin_Bleu Male,TRUE
Eric_Stuart Male,TRUE
Nikki_Boyer Female,TRUE
Travis_Mills poronga Male,TRUE
Tony_Oller Male,TRUE
Janet_Jackson Female,TRUE
Wiz_Khalifa Male,TRUE
Rufus_Wainwright Male,TRUE
Seth_Glier Male,TRUE
Seth_MacFarlane Male,TRUE
Tom_Waits Male,TRUE
Jay_Brannan Male,TRUE
Stevie_Ray_Vaughan Male,TRUE
Wild_Man_Fischer Male,TRUE
Lou_Reed Male,TRUE
Paula_Abdul Female,TRUE
Debby_Ryan Female,TRUE
Phil_Vassar Male,TRUE
Gerard_Way Male,TRUE
Nick_Jonas Male,TRUE
Marilyn_Manson Male,TRUE
Adam_Lambert Male,TRUE
Raven-Symon̩ Female,TRUE
Emily_Osment Female,TRUE
